;name;github_id;dockerhub_id;pypi_id;npm_id;helm_id;brew_id;apt_id;yum_id;maven_id;category;github_url;homepage;created_at;updated_at;fork_count;open_issue_count;closed_issue_count;star_count;commit_count;latest_stable_release_published_at;latest_stable_release_number;release_count;description;contributor_count;sourcerank;pypi_url;license;dependent_project_count;pypi_dependent_project_count;pypi_monthly_downloads;monthly_downloads;npm_url;npm_dependent_project_count;npm_monthly_downloads;maven_url;maven_dependent_project_count;dockerhub_url;dockerhub_stars;dockerhub_pulls;show;sourcerank_placing;gem_id;conda_id;go_id;conda_url;github_dependent_project_count;pkg_id;cran_od;conda_dependent_project_count;github_release_downloads;zypper_id;docs_url;yarn_id;cran_id;nuget_id;snap_id
176;RedisAI;RedisAI/RedisAI;redisai/redisai;;;;;;;;model-deployment;https://github.com/RedisAI/RedisAI;https://github.com/RedisAI/RedisAI;2016-09-18 14:59:36+00:00;2019-10-24 09:58:33+00:00;28;30.0;81.0;252;340.0;;;7.0;A Redis module for serving tensors and executing deep learning graphs.;15;15;;RSAL;;;;361.0;;;;;;https://hub.docker.com/r/redisai/redisai;;13377.0;False;3;;;;;;;;;;;;;;;
177;LOST;l3p-cv/lost;l3pcv/lost;;;;;;;;data-labeling;https://github.com/l3p-cv/lost;https://github.com/l3p-cv/lost;2018-11-12 16:04:39+00:00;2019-10-24 20:19:09+00:00;30;14.0;29.0;245;1203.0;;;;Label Objects and Save Time (LOST) - Design your own smart Image..;5;15;;MIT;;;;34.0;;;;;;https://hub.docker.com/r/l3pcv/lost;;379.0;True;3;;;;;;;;;;;;;;;
178;neural-style;anishathalye/neural-style;;;;;;;;;ml-applications;https://github.com/anishathalye/neural-style;https://github.com/anishathalye/neural-style;2015-11-21 23:40:00+00:00;2019-10-06 01:30:41+00:00;1380;5.0;111.0;4910;87.0;;;;Neural style in TensorFlow!.;17;14;;GPL-3.0;;;;;;;;;;;;;False;3;;;;;;;;;;;;;;;
179;Franchise;HVF/franchise;binakot/franchise;;;;;;;;db-gui;https://github.com/HVF/franchise;https://github.com/HVF/franchise;2017-08-01 17:40:56+00:00;2019-08-09 13:36:36+00:00;215;30.0;26.0;3506;78.0;;;;a notebook sql client. what you get when have a lot of sequels.;14;14;;MIT;;;;11.0;;;;;;https://hub.docker.com/r/binakot/franchise;2.0;304.0;True;3;;;;;;;;;;;;;;;
180;PocketFlow;Tencent/PocketFlow;;;;;;;;;accelerators;https://github.com/Tencent/PocketFlow;https://github.com/Tencent/PocketFlow;2018-10-31 07:45:21+00:00;2019-05-28 02:57:15+00:00;438;67.0;199.0;2304;214.0;;;;An Automatic Model Compression (AutoMC) framework for developing..;11;14;;BSD-3-Clause;;;;;;;;;;;;;True;3;;;;;;;;;;;;;;;
181;Deep Colorization;junyanz/interactive-deep-colorization;;;;;;;;;ml-applications;https://github.com/junyanz/interactive-deep-colorization;https://github.com/junyanz/interactive-deep-colorization;2017-05-08 07:27:47+00:00;2019-10-03 20:28:20+00:00;332;20.0;43.0;2008;58.0;;;;Deep learning software for colorizing black and white images with a..;7;14;;MIT;;;;;;;;;;;;;True;3;;;;;;;;;;;;;;;
182;BertViz;jessevig/bertviz;;;;;;;;;model-viz;https://github.com/jessevig/bertviz;https://github.com/jessevig/bertviz;2018-12-16 16:50:42+00:00;2019-09-29 15:15:11+00:00;180;11.0;8.0;990;162.0;;;;Tool for visualizing attention in the Transformer model (BERT,..;3;14;;Apache-2.0;;;;;;;;;;;;;True;3;;;;;;;;;;;;;;;
183;OpenVINO DLDT;opencv/dldt;;;;;;;;;model-deployment;https://github.com/opencv/dldt;https://github.com/opencv/dldt;2018-10-15 10:54:40+00:00;2019-10-29 15:19:48+00:00;271;152.0;89.0;867;11.0;2019-10-28 18:37:50+00:00;2019_R3.1;4.0;OpenVINO Toolkit - Deep Learning Deployment Toolkit repository.;7;14;;Apache-2.0;;;;19.0;;;;;;;;;True;3;;;;;;;;;97.0;;;;;;
184;GraphPipe;oracle/graphpipe;sleepsonthefloor/graphpipe-tf;graphpipe;;;;;;;model-deployment;https://github.com/oracle/graphpipe;https://github.com/oracle/graphpipe;2018-06-27 18:31:23+00:00;2018-11-02 19:04:45.778002+00:00;92;11.0;1.0;674;29.0;2018-08-15 21:29:32+00:00;1.0.4;5.0;Machine Learning Model Deployment Made Simple.;4;14;https://pypi.org/project/graphpipe;UPL-1.0;2.0;2.0;291.0;352.0;;;;;;https://hub.docker.com/r/sleepsonthefloor/graphpipe-tf;;990.0;False;3;;;github.com/oracle/graphpipe-go;;;;;;;;;;;;
185;ML Workspace;ml-tooling/ml-workspace;mltooling/ml-workspace;;;;;;;;dev-environments;https://github.com/ml-tooling/ml-workspace;https://github.com/ml-tooling/ml-workspace;2019-05-27 16:55:15+00:00;2019-10-18 11:59:17+00:00;64;3.0;4.0;646;477.0;;;;All-in-one web-based IDE specialized for machine learning and data..;6;14;;Apache-2.0;;;;982.0;;;;;;https://hub.docker.com/r/mltooling/ml-workspace;4.0;4911.0;True;3;;;;;;;;;;;;;;;
