,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,nuget_id,snap_id,dotnet_id,cargo_id,gitlab_id
202,DeepFaceLab,iperov/DeepFaceLab,,,,,,,,,ml-applications,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,2018-06-04 13:10:00+00:00,2019-11-08 19:04:57+00:00,2019-11-08 19:04:51+00:00,2447,113.0,293.0,10706,629.0,,,,DeepFaceLab is a tool that utilizes machine learning to replace..,17.0,16,,GPL-3.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
203,Label Studio,heartexlabs/label-studio,heartexlabs/label-studio,,label-studio,,,,,,data-labeling,https://github.com/heartexlabs/label-studio,https://github.com/heartexlabs/label-studio,2019-06-19 02:00:44+00:00,2019-11-07 23:10:45+00:00,2019-11-07 23:10:44+00:00,100,11.0,23.0,1930,122.0,2019-10-29 11:16:24+00:00,.0.2.1-5,11.0,Label Studio is a multi-type data labeling and annotation tool with..,11.0,16,,Apache-2.0,,,,,289.0,https://www.npmjs.com/package/label-studio,2019-10-16 08:53:09.673000+00:00,,275.0,,,,https://hub.docker.com/r/heartexlabs/label-studio,2019-10-02 09:40:02.036951+00:00,,74.0,True,2,,,,,,,,,,,,,,,,,,
204,Banana,LucidWorks/banana,,,,,,,,,data-viz,https://github.com/lucidworks/banana,https://github.com/lucidworks/banana,2013-11-21 17:30:57+00:00,2019-09-27 07:15:56+00:00,2019-09-03 02:44:23+00:00,216,99.0,46.0,625,,2019-08-27 05:47:17+00:00,1.6.25,8.0,Banana for Solr - A Port of Kibana.,44.0,16,,Apache-2.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
205,PixelAnnotationTool,abreheret/PixelAnnotationTool,,,,,,,,,data-labeling,https://github.com/abreheret/PixelAnnotationTool,https://github.com/abreheret/PixelAnnotationTool,2017-10-03 16:52:13+00:00,2019-11-04 09:10:32+00:00,2019-11-04 09:10:31+00:00,156,14.0,25.0,616,78.0,2019-02-22 14:34:12+00:00,1.3.2,6.0,Annotate quickly images.,6.0,16,,LGPL-3.0,,,,,378.0,,,,,,,,,,,,True,2,,,,,,,,,,9466.0,,,,,,,,
206,Sequeler,Alecaddd/sequeler,,,,,,,,,db-gui,https://github.com/Alecaddd/sequeler,https://github.com/Alecaddd/sequeler,2017-08-02 04:38:08+00:00,2019-09-15 00:58:57+00:00,2019-09-01 23:09:00+00:00,46,42.0,168.0,478,650.0,2019-09-01 23:09:46+00:00,0.7.3,41.0,SQL Client built in Vala.,33.0,16,,GPL-3.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
207,h2o-flow,h2oai/h2o-flow,,,,,,,,,dev-environments,https://github.com/h2oai/h2o-flow,https://github.com/h2oai/h2o-flow,2014-10-08 22:52:26+00:00,2019-10-12 14:19:09+00:00,2019-10-12 14:19:01+00:00,56,4.0,,103,2878.0,2015-01-16 01:48:10+00:00,0.2.27,17.0,Web based interactive computing environment for H2O.,36.0,16,,MIT,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
208,MediaPipe,google/mediapipe,,,,,,,,,others,https://github.com/google/mediapipe,https://github.com/google/mediapipe,2019-06-13 19:16:41+00:00,2019-11-08 07:46:19+00:00,2019-10-29 22:59:27+00:00,595,37.0,184.0,3607,32.0,2019-10-25 22:00:59+00:00,0.6.3,5.0,MediaPipe is a cross-platform framework for building multimodal..,2.0,15,,Apache-2.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
209,Automatic-Speech-Recognition,zzw922cn/Automatic_Speech_Recognition,,,,,,,,,ml-applications,https://github.com/zzw922cn/Automatic_Speech_Recognition,https://github.com/zzw922cn/Automatic_Speech_Recognition,2016-11-13 03:51:07+00:00,2019-10-17 01:02:05+00:00,2019-10-17 00:59:04+00:00,507,67.0,19.0,2558,253.0,,,,End-to-end Automatic Speech Recognition for Madarian and English in..,9.0,15,,MIT,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
210,Onyx,onyx-platform/onyx,,,,,,,,,data-processing,https://github.com/onyx-platform/onyx,https://github.com/onyx-platform/onyx,2013-12-02 01:21:14+00:00,2019-08-31 10:58:07+00:00,2019-08-31 10:50:10+00:00,197,80.0,509.0,1919,6828.0,,,,"Distributed, masterless, high performance, fault tolerant data..",62.0,15,,EPL-1.0,,,,,,,,,,,,,,,,,False,3,,,,,,,,,,,,,,,,,,
211,Labelbox,Labelbox/Labelbox,,,,,,,,,data-labeling,https://github.com/Labelbox/Labelbox,https://github.com/Labelbox/Labelbox,2018-01-07 06:26:16+00:00,2019-10-15 15:29:24+00:00,2019-10-15 15:29:23+00:00,186,19.0,,1210,748.0,,,,Labelbox is the fastest way to annotate data to build and ship..,14.0,15,,Apache-2.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
