,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,dockerhub,nuget_id,snap_id,dotnet_id,cargo_id,gitlab_id
118,Tile38,tidwall/tile38,tile38/tile38,,,,tile38,,,,data-storage,https://github.com/tidwall/tile38,https://github.com/tidwall/tile38,2016-03-04 23:07:44+00:00,2019-11-05 18:27:51.927454+00:00,2019-11-05 16:43:57+00:00,356,81.0,311.0,6528,819.0,2019-11-02 22:39:12+00:00,1.19.0,47.0,Tile38 is a geospatial database and realtime geofencing server.,36.0,23,,MIT,,,,,15422.0,,,,,,,,https://hub.docker.com/r/tile38/tile38,2019-11-05 18:27:51.927454+00:00,14.0,639812.0,True,3,,,,,,,,,,37891.0,,,,,,,,,
119,phpMyAdmin,phpmyadmin/phpmyadmin,,,,stable/phpmyadmin,,,,,db-gui,https://github.com/phpmyadmin/phpmyadmin,https://github.com/phpmyadmin/phpmyadmin,2012-01-19 13:21:52+00:00,2019-11-11 21:24:50+00:00,2019-11-11 20:49:20+00:00,2479,488.0,11760.0,4547,116765.0,2019-09-21 04:00:07+00:00,RELEASE_4_9_1,100.0,A web interface for MySQL and MariaDB.,1643.0,23,,GPL-2.0,,,,,,,,,,,,,,,,,False,2,,,,,,,,,,,,,,,,,,,
120,Zeppelin,apache/zeppelin,apache/zeppelin,,,stable/zeppelin,,,,org.apache.zeppelin:zeppelin-server,dev-environments,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,2015-03-25 07:00:06+00:00,2019-11-11 20:09:11+00:00,2019-11-11 04:17:11+00:00,2051,62.0,,4520,4221.0,,,,Web-based notebook that enables interactive data analytics.,381.0,23,,Apache-2.0,,,,,14453.0,,,,,,,,https://hub.docker.com/r/apache/zeppelin,2019-10-07 18:47:39.997944+00:00,103.0,809382.0,True,3,,,,,,,,,,,,,,,,,,,
121,argo,argoproj/argo,argoproj/argoui,,,argo/argo,,,,,job-scheduler,https://github.com/argoproj/argo,https://github.com/argoproj/argo,2017-08-21 18:50:44+00:00,2019-11-11 16:02:47+00:00,2019-11-11 16:02:46+00:00,578,250.0,800.0,4009,811.0,2019-10-21 19:06:52+00:00,2.4.2,20.0,Argo Workflows: Get stuff done with Kubernetes.,136.0,23,,Apache-2.0,,,,,49214.0,,,,,,,,https://hub.docker.com/r/argoproj/argoui,2019-11-05 01:42:24.728088+00:00,1.0,1106378.0,True,2,,,,,,,,,,197716.0,,,,,,,,,
122,Heron,apache/incubator-heron,heron/heron,,,,heron,,,,data-processing,https://github.com/apache/incubator-heron,https://github.com/apache/incubator-heron,2015-09-25 16:09:24+00:00,2019-11-11 18:53:55+00:00,2019-11-11 06:59:40+00:00,601,386.0,551.0,3421,3010.0,2019-06-27 00:41:22+00:00,0.20.1-incubating,45.0,"Apache Heron (Incubating) is a realtime, distributed, fault-tolerant stream processing engine from Twitter.",129.0,23,,Apache-2.0,,,,,4143.0,,,,,,,,https://hub.docker.com/r/heron/heron,2018-04-01 21:27:29.508376+00:00,2.0,141123.0,True,2,,,,,,,,,,58157.0,,,,,,,,,
123,dkron,distribworks/dkron,dkron/dkron,,,,,,,,job-scheduler,https://github.com/distribworks/dkron,https://github.com/distribworks/dkron,2015-06-10 08:13:17+00:00,2019-11-08 09:38:44+00:00,2019-10-29 22:12:58+00:00,186,34.0,285.0,2031,1807.0,2019-07-08 21:20:32+00:00,1.2.5,68.0,"Dkron - Distributed, fault tolerant job scheduling system https://dkron.io.",42.0,23,,LGPL-3.0,,,,,14011.0,,,,,,,,https://hub.docker.com/r/dkron/dkron,2019-10-10 20:09:32.751933+00:00,10.0,477308.0,True,2,,,,,,,,,,255342.0,,,,,,,,,
124,Embulk,embulk/embulk,,,,,,,,,data-integration,https://github.com/embulk/embulk,https://github.com/embulk/embulk,2014-09-16 03:58:52+00:00,2019-11-11 08:42:59+00:00,2019-11-11 08:31:30+00:00,161,166.0,252.0,1348,2664.0,2019-11-11 08:43:48+00:00,0.9.20,100.0,"Parallel bulk data loader that helps data transfer between various storages, databases, NoSQL and cloud services.",49.0,23,,Apache-2.0,,,,,8055.0,,,,,,,,,,,,True,3,,,,,,,,,,88615.0,,,,,,,,,
125,Dagster,dagster-io/dagster,,dagster,,,,,,,data-integration,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,2018-04-30 16:30:04+00:00,2019-11-11 20:58:27+00:00,2019-11-11 20:58:23+00:00,73,231.0,742.0,985,2534.0,2019-10-18 17:40:14+00:00,0.6.2,93.0,"A Python library for building data applications: ETL, ML, Data Pipelines, and more.",38.0,23,https://pypi.org/project/dagster,Apache-2.0,2019-11-01 00:54:24+00:00,36.0,2.0,4372.0,4372.0,,,,,,,,,,,,True,3,,,,,,34.0,,,,,,,,,,,,,
126,Quilt,quiltdata/quilt,,quilt3,,,,,,,data-storage,https://github.com/quiltdata/quilt,https://github.com/quiltdata/quilt,2017-02-10 02:46:03+00:00,2019-11-11 13:41:41+00:00,2019-11-11 12:33:33+00:00,47,57.0,42.0,836,1802.0,2019-10-17 23:30:20+00:00,3.1.4,40.0,Quilt is a versioned data portal for AWS.,27.0,23,https://pypi.org/project/quilt3,Apache-2.0,2019-10-10 23:38:12+00:00,18.0,4.0,1575.0,1575.0,,,,,,,,,,,,True,3,,,,,,14.0,,,,,,,,,,,,,
127,MXNet Model Server,awslabs/mxnet-model-server,awsdeeplearningteam/mxnet-model-server,mxnet-model-server,,,,,,,model-deployment,https://github.com/awslabs/mxnet-model-server,https://github.com/awslabs/mxnet-model-server,2017-10-04 23:41:07+00:00,2019-11-11 18:05:06+00:00,2019-11-08 20:26:48+00:00,144,25.0,297.0,531,1139.0,2019-11-05 01:24:40+00:00,1.0.8,421.0,Model Server for Apache MXNet is a tool for serving neural net models for inference.,53.0,23,https://pypi.org/project/mxnet-model-server,Apache-2.0,2019-11-11 05:07:36+00:00,13.0,2.0,4143.0,5366.0,,,,,,,,https://hub.docker.com/r/awsdeeplearningteam/mxnet-model-server,2019-11-11 08:15:13.954877+00:00,4.0,30595.0,True,2,,,,,,11.0,,,,,,,,,,,,,
