,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,dockerhub,nuget_id,snap_id,dotnet_id,cargo_id,pip_id,gitlab_id
51,Kafka,apache/kafka,bitnami/kafka,kafka,,incubator/kafka,,,,org.apache.kafka:kafka,data-processing,https://github.com/apache/kafka,https://github.com/apache/kafka,2011-08-15 18:06:16+00:00,2020-01-24 20:48:36+00:00,2020-01-24 19:56:08+00:00,7694.0,713.0,,14884,,2017-10-07 23:53:13+00:00,1.3.5,18.0,Distributed streaming platform that is used to build real time streaming data pipelines and applications that adapt to..,783.0,29,https://pypi.org/project/kafka,Apache-2.0,2017-10-07 23:53:13+00:00,404.0,352.0,257184.0,459496.0,,,,,https://search.maven.org/artifact/org.apache.kafka/kafka,2013-11-22 01:21:42+00:00,52.0,https://hub.docker.com/r/bitnami/kafka,2020-01-24 18:19:02.068997+00:00,103.0,20433566.0,True,2,,,,,,,,,,,,,,,,,,,,
52,Hadoop,apache/hadoop,,,,stable/hadoop,,,,org.apache.hadoop:hadoop-common,data-processing,https://github.com/apache/hadoop,https://github.com/apache/hadoop,2014-08-28 07:00:08+00:00,2020-01-24 18:52:19+00:00,2020-01-24 18:50:16+00:00,6161.0,274.0,,10069,9714.0,2018-08-02 16:56:10+00:00,3.1.1,206.0,Framework that allows for the distributed processing of large data sets across clusters of computers using simple..,416.0,29,,Apache-2.0,,11916.0,,,,,,,,https://search.maven.org/artifact/org.apache.hadoop/hadoop-common,2018-08-02 16:56:10+00:00,11854.0,,,,,True,2,,,,,,62.0,,,,,,,,,,,,,,
53,Theia,eclipse-theia/theia,theiaide/theia,,@theia/application-manager,,,,,,dev-environments,https://github.com/eclipse-theia/theia,https://github.com/eclipse-theia/theia,2017-02-24 14:42:05+00:00,2020-01-24 20:29:48+00:00,2020-01-24 14:29:04+00:00,872.0,1204.0,2813.0,6824,4268.0,2019-12-19 18:51:53.001000+00:00,0.14.0,1509.0,Eclipse Theia is a cloud & desktop IDE framework implemented in TypeScript.,139.0,29,,EPL-2.0,,311.0,,,91789.0,https://www.npmjs.com/package/@theia/application-manager,2020-01-19 11:59:21.053000+00:00,108.0,58351.0,,,,https://hub.docker.com/r/theiaide/theia,2020-01-24 03:00:40.751080+00:00,37.0,1170354.0,True,2,,,,,,203.0,,,,,,,,,,,,,,
54,Alluxio,Alluxio/alluxio,alluxio/alluxio,alluxio,,,alluxio,,,org.alluxio:alluxio-core-client-fs,data-integration,https://github.com/Alluxio/alluxio,https://github.com/Alluxio/alluxio,2012-12-21 17:43:46+00:00,2020-01-24 20:41:41+00:00,2020-01-24 20:27:40+00:00,2281.0,281.0,385.0,4497,30621.0,2019-11-01 05:58:49+00:00,2.1.0,34.0,"Alluxio, data orchestration for analytics and machine learning in the cloud.",1221.0,29,https://pypi.org/project/alluxio,Apache-2.0,2017-09-07 04:36:04+00:00,39.0,,61.0,6739.0,,,,,https://search.maven.org/artifact/org.alluxio/alluxio-core-client-fs,2018-03-27 20:26:37+00:00,38.0,https://hub.docker.com/r/alluxio/alluxio,2020-01-24 10:55:12.044071+00:00,3.0,545463.0,True,2,,,github.com/Alluxio/alluxio-go,,,1.0,,,,19575.0,,,,,,,,,,
55,Adminer,vrana/adminer,adminer,,,mogaal/adminer,,,,,db-gui,https://github.com/vrana/adminer,https://github.com/vrana/adminer,2010-04-25 08:30:07+00:00,2020-01-24 13:49:50.208928+00:00,2019-12-20 13:00:40+00:00,753.0,4.0,,4242,3574.0,2019-11-13 07:21:44+00:00,4.7.5,15.0,Database management in a single PHP file.,127.0,29,,Apache-2.0,,98.0,,,945181.0,,,,,,,,https://hub.docker.com/r/_/adminer,2020-01-24 13:49:50.208928+00:00,331.0,103564901.0,True,1,,,,,,98.0,,,,2280447.0,,,,,,,,,,
56,Apache NiFi,apache/nifi,apache/nifi,,,,,,,org.apache.nifi:nifi-api,data-integration,https://github.com/apache/nifi,https://github.com/apache/nifi,2014-12-12 08:00:05+00:00,2020-01-24 19:31:55+00:00,2020-01-23 04:30:41+00:00,1590.0,218.0,,2029,5589.0,2018-07-12 18:48:44+00:00,1.8.0,34.0,Integrated data logistics platform for automating the movement of data between disparate systems.,370.0,29,,Apache-2.0,,214.0,,,20791.0,,,,,https://search.maven.org/artifact/org.apache.nifi/nifi-api,2018-10-23 02:58:49+00:00,214.0,https://hub.docker.com/r/apache/nifi,2019-11-05 15:19:10.605188+00:00,154.0,1268276.0,True,2,,,,,,,,,,,,,,,,,,,,
57,TiDB,pingcap/tidb,pingcap/tidb,,,,,,,,data-storage,https://github.com/pingcap/tidb,https://github.com/pingcap/tidb,2015-09-06 04:01:52+00:00,2020-01-24 18:44:17.420186+00:00,2020-01-23 08:53:36+00:00,3320.0,1258.0,2523.0,22398,10126.0,2020-01-17 14:17:02+00:00,4.0.0-beta,82.0,TiDB is an open source distributed HTAP database compatible with the MySQL protocol.,403.0,28,,Apache-2.0,,,,,10043.0,,,,,,,,https://hub.docker.com/r/pingcap/tidb,2020-01-24 18:44:17.420186+00:00,51.0,522247.0,True,3,,,github.com/pingcap/tidb,,,,,,,,,,,,,,,,,
58,Redash,getredash/redash,redash/redash,,,,,,,,business-intelligence,https://github.com/getredash/redash,https://github.com/getredash/redash,2013-10-28 13:19:39+00:00,2020-01-24 20:11:39+00:00,2020-01-23 19:21:49+00:00,2512.0,491.0,1410.0,15436,6890.0,2019-10-28 11:29:13+00:00,8.0.0,94.0,"Make Your Company Data Driven. Connect to any data source, easily visualize, dashboard and share your data.",338.0,28,,BSD-2-Clause,,,,,150297.0,,,,,,,,https://hub.docker.com/r/redash/redash,2020-01-23 20:09:23.881216+00:00,137.0,11257656.0,True,2,,,,,,,,,,13906.0,,,https://redash.io/help/,,,,,,,
59,Glances,nicolargo/glances,nicolargo/glances,glances,,,glances,,,,others,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,2011-12-04 08:49:15+00:00,2020-01-22 17:28:02+00:00,2020-01-22 17:28:01+00:00,988.0,126.0,1020.0,14982,3604.0,2019-07-17 15:55:42+00:00,3.1.2,46.0,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",115.0,28,https://pypi.org/project/glances,LGPL-3.0,2019-08-27 14:39:31+00:00,208.0,44.0,40869.0,366166.0,,,,,,,,https://hub.docker.com/r/nicolargo/glances,2019-01-29 06:24:17.061240+00:00,51.0,31553323.0,True,1,,,,,,164.0,,,,352.0,,,,,,,,,,
60,Botpress,botpress/botpress,,,botpress,,,,,,others,https://github.com/botpress/botpress,https://github.com/botpress/botpress,2016-11-16 21:57:59+00:00,2020-01-24 21:03:02+00:00,2020-01-24 18:20:55+00:00,925.0,117.0,818.0,8331,10682.0,2020-01-23 00:34:16+00:00,12.4.2,220.0,"The Conversational Platform with built-in language understanding (NLU), beautiful graphical interface and Dialog..",119.0,28,,AGPL-3.0,,512.0,,,1181.0,https://www.npmjs.com/package/botpress,2019-01-19 12:11:36.247000+00:00,172.0,1181.0,,,,,,,,False,1,,,,,,340.0,,,,,,,,,,,,,,
